Time,Rx_ID,Rx_Delay,Rx_Gap,Inst_Tp,LossRate
1.153,1,0.004305582374,0,867.303,0
1.173,2,0.004305582374,0.02,50000,0
1.193,3,0.004305582374,0.02,50000,0
1.213,4,0.004305582374,0.02,50000,0
1.233,5,0.004305582374,0.02,50000,0
1.253,6,0.004305582374,0.02,50000,0
1.273,7,0.004305582374,0.02,50000,0
1.293,8,0.004305582374,0.02,50000,0
1.313,9,0.004305582374,0.02,50000,0
1.333,10,0.004305582374,0.02,50000,0
1.353,11,0.004305582374,0.02,50000,0
1.373,12,0.004305582374,0.02,50000,0
1.393,13,0.004305582374,0.02,50000,0
1.413,14,0.004305582374,0.02,50000,0
1.433,15,0.004305582374,0.02,50000,0
1.453,16,0.004305582374,0.02,50000,0
1.473,17,0.004305582374,0.02,50000,0
1.493,18,0.004305582374,0.02,50000,0
1.513,19,0.004305582374,0.02,50000,0
1.533,20,0.004305582374,0.02,50000,0
1.553,21,0.004305582374,0.02,50000,0
1.573,22,0.004305582374,0.02,50000,0
1.593,23,0.004305582374,0.02,50000,0
1.613,24,0.004305582374,0.02,50000,0
1.633,25,0.004305582374,0.02,50000,0
1.653,26,0.004305582374,0.02,50000,0
1.673,27,0.004305582374,0.02,50000,0
1.693,28,0.004305582374,0.02,50000,0
1.713,29,0.004305582374,0.02,50000,0
1.733,30,0.004305582374,0.02,50000,0
1.753,31,0.004305582374,0.02,50000,0
1.773,32,0.004305582374,0.02,50000,0
1.793,33,0.004305582374,0.02,50000,0
1.813,34,0.004305582374,0.02,50000,0
1.833,35,0.004305582374,0.02,50000,0
1.853,36,0.004305582374,0.02,50000,0
1.873,37,0.004305582374,0.02,50000,0
1.893,38,0.004305582374,0.02,50000,0
1.913,39,0.004305582374,0.02,50000,0
1.933,40,0.004305582374,0.02,50000,0
1.953,41,0.004305582374,0.02,50000,0
1.973,42,0.004305582374,0.02,50000,0
1.993,43,0.004305582374,0.02,50000,0
2.013,44,0.004305582374,0.02,50000,0
2.033,45,0.004305582374,0.02,50000,0
